Change_type,Noise_level,Log_size,Change_pattern,Dataset,Scope
sudden,noise0,1000,IOR,Ceravolo,yes
sudden,noise0,1000,IRO,Ceravolo,yes
sudden,noise0,1000,OIR,Ceravolo,yes
sudden,noise0,1000,RIO,Ceravolo,yes
sudden,noise0,1000,ROI,Ceravolo,yes
sudden,noise0,1000,cb,Ceravolo,yes
sudden,noise0,1000,cd,Ceravolo,yes
sudden,noise0,1000,cf,Ceravolo,yes
sudden,noise0,1000,cp,Ceravolo,yes
sudden,noise0,1000,lp,Ceravolo,yes
sudden,noise0,1000,pl,Ceravolo,yes
sudden,noise0,1000,pm,Ceravolo,yes
sudden,noise0,1000,re,Ceravolo,yes
sudden,noise0,1000,rp,Ceravolo,yes
sudden,noise0,1000,sw,Ceravolo,yes
sudden,noise0,100,IOR,Ceravolo,no
sudden,noise0,100,IRO,Ceravolo,no
sudden,noise0,100,OIR,Ceravolo,no
sudden,noise0,100,RIO,Ceravolo,no
sudden,noise0,100,ROI,Ceravolo,no
sudden,noise0,100,cb,Ceravolo,no
sudden,noise0,100,cd,Ceravolo,no
sudden,noise0,100,cf,Ceravolo,no
sudden,noise0,100,cp,Ceravolo,no
sudden,noise0,100,lp,Ceravolo,no
sudden,noise0,100,pl,Ceravolo,no
sudden,noise0,100,pm,Ceravolo,no
sudden,noise0,100,re,Ceravolo,no
sudden,noise0,100,rp,Ceravolo,no
sudden,noise0,100,sw,Ceravolo,no
sudden,noise0,500,IOR,Ceravolo,no
sudden,noise0,500,IRO,Ceravolo,no
sudden,noise0,500,OIR,Ceravolo,no
sudden,noise0,500,RIO,Ceravolo,no
sudden,noise0,500,ROI,Ceravolo,no
sudden,noise0,500,cb,Ceravolo,no
sudden,noise0,500,cd,Ceravolo,no
sudden,noise0,500,cf,Ceravolo,no
sudden,noise0,500,cp,Ceravolo,no
sudden,noise0,500,lp,Ceravolo,no
sudden,noise0,500,pl,Ceravolo,no
sudden,noise0,500,pm,Ceravolo,no
sudden,noise0,500,re,Ceravolo,no
sudden,noise0,500,rp,Ceravolo,no
sudden,noise0,500,sw,Ceravolo,no
sudden,noise10,1000,IOR,Ceravolo,yes
sudden,noise10,1000,IRO,Ceravolo,yes
sudden,noise10,1000,OIR,Ceravolo,yes
sudden,noise10,1000,RIO,Ceravolo,yes
sudden,noise10,1000,ROI,Ceravolo,yes
sudden,noise10,1000,cb,Ceravolo,yes
sudden,noise10,1000,cd,Ceravolo,yes
sudden,noise10,1000,cf,Ceravolo,yes
sudden,noise10,1000,cp,Ceravolo,yes
sudden,noise10,1000,lp,Ceravolo,yes
sudden,noise10,1000,pl,Ceravolo,yes
sudden,noise10,1000,pm,Ceravolo,yes
sudden,noise10,1000,re,Ceravolo,yes
sudden,noise10,1000,rp,Ceravolo,yes
sudden,noise10,1000,sw,Ceravolo,yes
sudden,noise10,100,IOR,Ceravolo,no
sudden,noise10,100,IRO,Ceravolo,no
sudden,noise10,100,OIR,Ceravolo,no
sudden,noise10,100,RIO,Ceravolo,no
sudden,noise10,100,ROI,Ceravolo,no
sudden,noise10,100,cb,Ceravolo,no
sudden,noise10,100,cd,Ceravolo,no
sudden,noise10,100,cf,Ceravolo,no
sudden,noise10,100,cp,Ceravolo,no
sudden,noise10,100,lp,Ceravolo,no
sudden,noise10,100,pl,Ceravolo,no
sudden,noise10,100,pm,Ceravolo,no
sudden,noise10,100,re,Ceravolo,no
sudden,noise10,100,rp,Ceravolo,no
sudden,noise10,100,sw,Ceravolo,no
sudden,noise10,500,IOR,Ceravolo,no
sudden,noise10,500,IRO,Ceravolo,no
sudden,noise10,500,OIR,Ceravolo,no
sudden,noise10,500,RIO,Ceravolo,no
sudden,noise10,500,ROI,Ceravolo,no
sudden,noise10,500,cb,Ceravolo,no
sudden,noise10,500,cd,Ceravolo,no
sudden,noise10,500,cf,Ceravolo,no
sudden,noise10,500,cp,Ceravolo,no
sudden,noise10,500,lp,Ceravolo,no
sudden,noise10,500,pl,Ceravolo,no
sudden,noise10,500,pm,Ceravolo,no
sudden,noise10,500,re,Ceravolo,no
sudden,noise10,500,rp,Ceravolo,no
sudden,noise10,500,sw,Ceravolo,no
sudden,noise15,1000,IOR,Ceravolo,yes
sudden,noise15,1000,IRO,Ceravolo,yes
sudden,noise15,1000,OIR,Ceravolo,yes
sudden,noise15,1000,RIO,Ceravolo,yes
sudden,noise15,1000,ROI,Ceravolo,yes
sudden,noise15,1000,cb,Ceravolo,yes
sudden,noise15,1000,cd,Ceravolo,yes
sudden,noise15,1000,cf,Ceravolo,yes
sudden,noise15,1000,cp,Ceravolo,yes
sudden,noise15,1000,lp,Ceravolo,yes
sudden,noise15,1000,pl,Ceravolo,yes
sudden,noise15,1000,pm,Ceravolo,yes
sudden,noise15,1000,re,Ceravolo,yes
sudden,noise15,1000,rp,Ceravolo,yes
sudden,noise15,1000,sw,Ceravolo,yes
sudden,noise15,100,IOR,Ceravolo,no
sudden,noise15,100,IRO,Ceravolo,no
sudden,noise15,100,OIR,Ceravolo,no
sudden,noise15,100,RIO,Ceravolo,no
sudden,noise15,100,ROI,Ceravolo,no
sudden,noise15,100,cb,Ceravolo,no
sudden,noise15,100,cd,Ceravolo,no
sudden,noise15,100,cf,Ceravolo,no
sudden,noise15,100,cp,Ceravolo,no
sudden,noise15,100,lp,Ceravolo,no
sudden,noise15,100,pl,Ceravolo,no
sudden,noise15,100,pm,Ceravolo,no
sudden,noise15,100,re,Ceravolo,no
sudden,noise15,100,rp,Ceravolo,no
sudden,noise15,100,sw,Ceravolo,no
sudden,noise15,500,IOR,Ceravolo,no
sudden,noise15,500,IRO,Ceravolo,no
sudden,noise15,500,OIR,Ceravolo,no
sudden,noise15,500,RIO,Ceravolo,no
sudden,noise15,500,ROI,Ceravolo,no
sudden,noise15,500,cb,Ceravolo,no
sudden,noise15,500,cd,Ceravolo,no
sudden,noise15,500,cf,Ceravolo,no
sudden,noise15,500,cp,Ceravolo,no
sudden,noise15,500,lp,Ceravolo,no
sudden,noise15,500,pl,Ceravolo,no
sudden,noise15,500,pm,Ceravolo,no
sudden,noise15,500,re,Ceravolo,no
sudden,noise15,500,rp,Ceravolo,no
sudden,noise15,500,sw,Ceravolo,no
sudden,noise20,1000,IOR,Ceravolo,yes
sudden,noise20,1000,IRO,Ceravolo,yes
sudden,noise20,1000,OIR,Ceravolo,yes
sudden,noise20,1000,RIO,Ceravolo,yes
sudden,noise20,1000,ROI,Ceravolo,yes
sudden,noise20,1000,cb,Ceravolo,yes
sudden,noise20,1000,cd,Ceravolo,yes
sudden,noise20,1000,cf,Ceravolo,yes
sudden,noise20,1000,cp,Ceravolo,yes
sudden,noise20,1000,lp,Ceravolo,yes
sudden,noise20,1000,pl,Ceravolo,yes
sudden,noise20,1000,pm,Ceravolo,yes
sudden,noise20,1000,re,Ceravolo,yes
sudden,noise20,1000,rp,Ceravolo,yes
sudden,noise20,1000,sw,Ceravolo,yes
sudden,noise20,100,IOR,Ceravolo,no
sudden,noise20,100,IRO,Ceravolo,no
sudden,noise20,100,OIR,Ceravolo,no
sudden,noise20,100,RIO,Ceravolo,no
sudden,noise20,100,ROI,Ceravolo,no
sudden,noise20,100,cb,Ceravolo,no
sudden,noise20,100,cd,Ceravolo,no
sudden,noise20,100,cf,Ceravolo,no
sudden,noise20,100,cp,Ceravolo,no
sudden,noise20,100,lp,Ceravolo,no
sudden,noise20,100,pl,Ceravolo,no
sudden,noise20,100,pm,Ceravolo,no
sudden,noise20,100,re,Ceravolo,no
sudden,noise20,100,rp,Ceravolo,no
sudden,noise20,100,sw,Ceravolo,no
sudden,noise20,500,IOR,Ceravolo,no
sudden,noise20,500,IRO,Ceravolo,no
sudden,noise20,500,OIR,Ceravolo,no
sudden,noise20,500,RIO,Ceravolo,no
sudden,noise20,500,ROI,Ceravolo,no
sudden,noise20,500,cb,Ceravolo,no
sudden,noise20,500,cd,Ceravolo,no
sudden,noise20,500,cf,Ceravolo,no
sudden,noise20,500,cp,Ceravolo,no
sudden,noise20,500,lp,Ceravolo,no
sudden,noise20,500,pl,Ceravolo,no
sudden,noise20,500,pm,Ceravolo,no
sudden,noise20,500,re,Ceravolo,no
sudden,noise20,500,rp,Ceravolo,no
sudden,noise20,500,sw,Ceravolo,no
sudden,noise5,1000,IOR,Ceravolo,yes
sudden,noise5,1000,IRO,Ceravolo,yes
sudden,noise5,1000,OIR,Ceravolo,yes
sudden,noise5,1000,RIO,Ceravolo,yes
sudden,noise5,1000,ROI,Ceravolo,yes
sudden,noise5,1000,cb,Ceravolo,yes
sudden,noise5,1000,cd,Ceravolo,yes
sudden,noise5,1000,cf,Ceravolo,yes
sudden,noise5,1000,cp,Ceravolo,yes
sudden,noise5,1000,lp,Ceravolo,yes
sudden,noise5,1000,pl,Ceravolo,yes
sudden,noise5,1000,pm,Ceravolo,yes
sudden,noise5,1000,re,Ceravolo,yes
sudden,noise5,1000,rp,Ceravolo,yes
sudden,noise5,1000,sw,Ceravolo,yes
sudden,noise5,100,IOR,Ceravolo,no
sudden,noise5,100,IRO,Ceravolo,no
sudden,noise5,100,OIR,Ceravolo,no
sudden,noise5,100,RIO,Ceravolo,no
sudden,noise5,100,ROI,Ceravolo,no
sudden,noise5,100,cb,Ceravolo,no
sudden,noise5,100,cd,Ceravolo,no
sudden,noise5,100,cf,Ceravolo,no
sudden,noise5,100,cp,Ceravolo,no
sudden,noise5,100,lp,Ceravolo,no
sudden,noise5,100,pl,Ceravolo,no
sudden,noise5,100,pm,Ceravolo,no
sudden,noise5,100,re,Ceravolo,no
sudden,noise5,100,rp,Ceravolo,no
sudden,noise5,100,sw,Ceravolo,no
sudden,noise5,500,IOR,Ceravolo,no
sudden,noise5,500,IRO,Ceravolo,no
sudden,noise5,500,OIR,Ceravolo,no
sudden,noise5,500,RIO,Ceravolo,no
sudden,noise5,500,ROI,Ceravolo,no
sudden,noise5,500,cb,Ceravolo,no
sudden,noise5,500,cd,Ceravolo,no
sudden,noise5,500,cf,Ceravolo,no
sudden,noise5,500,cp,Ceravolo,no
sudden,noise5,500,lp,Ceravolo,no
sudden,noise5,500,pl,Ceravolo,no
sudden,noise5,500,pm,Ceravolo,no
sudden,noise5,500,re,Ceravolo,no
sudden,noise5,500,rp,Ceravolo,no
sudden,noise5,500,sw,Ceravolo,no
Atomic,na,na,ConditionalMove,Ostovar,yes
Atomic,na,na,ConditionalMove,Ostovar,yes
Atomic,na,na,ConditionalMove,Ostovar,yes
Atomic,na,na,ConditionalRemoval,Ostovar,yes
Atomic,na,na,ConditionalRemoval,Ostovar,yes
Atomic,na,na,ConditionalRemoval,Ostovar,yes
Atomic,na,na,ConditionalToSequence,Ostovar,yes
Atomic,na,na,ConditionalToSequence,Ostovar,yes
Atomic,na,na,ConditionalToSequence,Ostovar,yes
Atomic,na,na,Frequency,Ostovar,yes
Atomic,na,na,Frequency,Ostovar,yes
Atomic,na,na,Frequency,Ostovar,yes
Atomic,na,na,Loop,Ostovar,yes
Atomic,na,na,Loop,Ostovar,yes
Atomic,na,na,Loop,Ostovar,yes
Atomic,na,na,ParallelMove,Ostovar,yes
Atomic,na,na,ParallelMove,Ostovar,yes
Atomic,na,na,ParallelMove,Ostovar,yes
Atomic,na,na,ParallelRemoval,Ostovar,yes
Atomic,na,na,ParallelRemoval,Ostovar,yes
Atomic,na,na,ParallelRemoval,Ostovar,yes
Atomic,na,na,ParallelToSequence,Ostovar,yes
Atomic,na,na,ParallelToSequence,Ostovar,yes
Atomic,na,na,ParallelToSequence,Ostovar,yes
Atomic,na,na,SerialMove,Ostovar,yes
Atomic,na,na,SerialMove,Ostovar,yes
Atomic,na,na,SerialMove,Ostovar,yes
Atomic,na,na,SerialRemoval,Ostovar,yes
Atomic,na,na,SerialRemoval,Ostovar,yes
Atomic,na,na,SerialRemoval,Ostovar,yes
Atomic,na,na,Skip,Ostovar,yes
Atomic,na,na,Skip,Ostovar,yes
Atomic,na,na,Skip,Ostovar,yes
Atomic,na,na,Substitute,Ostovar,yes
Atomic,na,na,Substitute,Ostovar,yes
Atomic,na,na,Substitute,Ostovar,yes
Atomic,na,na,Swap,Ostovar,yes
Atomic,na,na,Swap,Ostovar,yes
Atomic,na,na,Swap,Ostovar,yes
